Date,PUN euro/kWh,PSV euro/Smc
1/1/2021,0.15764,0.213
2/1/2021,0.09466,0.193
3/1/2021,0.12168,0.195
4/1/2021,0.10381,0.229
5/1/2021,0.09584,0.27
6/1/2021,0.10867,0.3
7/1/2021,0.272347,0.378
8/1/2021,0.12167,0.452
9/1/2021,0.360725,0.666
10/1/2021,0.12233,0.914
11/1/2021,0.190381,0.861
12/1/2021,0.12378,1.213
1/1/2022,0.168216,0.92
2/1/2022,0.13978,0.871
3/1/2022,0.13497,1.355
4/1/2022,0.10999,1.072
5/1/2022,0.1082,0.961
6/1/2022,0.11491,1.098
7/1/2022,0.11026,1.849
8/1/2022,0.11855,2.498
9/1/2022,0.14863,1.962
10/1/2022,0.12826,0.835
11/1/2022,0.11869,0.975
12/1/2022,0.10507,1.247
1/1/2023,0.13738,0.731
2/1/2023,0.09492,0.608
3/1/2023,0.14593,0.498
4/1/2023,0.09462,0.479
5/1/2023,0.15161,0.364
6/1/2023,0.10129,0.354
7/1/2023,0.15895,0.336
8/1/2023,0.11148,0.355
9/1/2023,0.13486,0.396
10/1/2023,0.11616,0.467
11/1/2023,0.11508,0.455
12/1/2023,0.13063,0.388
1/1/2024,0.240709,0.333
2/1/2024,0.14795,0.297
3/1/2024,0.309955,0.307
4/1/2024,0.13174,0.326
5/1/2024,0.180648,0.352
6/1/2024,0.12663,0.386
7/1/2024,0.165685,0.378
8/1/2024,0.15195,0.433
9/1/2024,0.15205,0.415
10/1/2024,0.11981,0.436
11/1/2024,0.11796,0.482
12/1/2024,0.12232,0.509
1/1/2025,0.12812,0.533
2/1/2025,0.12808,0.566
3/1/2025,0.11908,0.455
4/1/2025,0.1053,0.402
